,SEM-I,SEM-II,SEM-III,SEM-IV,SEM-V,SEM-VI,SEM-VII,SEM-VIII
0,8.83,9.70,9.61,9.75,9.13,8.52,8.36,9.0
1,9.00,9.25,9.09,9.50,8.30,7.83,7.09,7.71
2,6.33,7.60,9.09,9.67,9.30,7.57,8.36,9.29
3,6.47,7.10,8.83,9.58,9.26,8.09,7.82,9.57
4,7.11,7.28,8.96,9.67,9.04,7.57,8.09,8.71
5,7.39,8.60,9.48,9.83,9.78,8.30,8.23,8.43
6,7.61,7.88,9.35,9.83,9.57,7.39,8.09,8.14
7,7.00,7.45,8.70,9.92,8.61,7.91,7.73,8.0
9,9.78,10.00,8.43,9.75,9.09,8.96,7.95,8.71
10,7.28,7.45,9.35,9.67,9.09,7.83,7.91,8.57
11,7.22,7.85,8.83,9.83,9.43,7.57,7.14,8.14
12,6.39,6.95,8.26,8.67,7.91,7.39,7.86,8.86
13,6.58,7.20,8.57,9.79,8.57,7.91,7.77,8.57
14,6.61,8.60,9.61,9.50,9.87,8.13,8.36,8.43
15,7.61,9.30,9.26,9.75,8.96,8.70,8.18,9.43
16,7.33,8.60,8.87,9.92,8.91,8.65,8.09,9.29
17,6.83,8.10,9.17,9.46,8.78,6.57,7.32,8.43
18,6.56,8.10,9.22,9.17,8.22,7.35,8.18,9.14
19,7.83,9.05,9.35,9.96,9.09,7.70,8.64,8.57
20,5.97,6.30,9.52,9.83,8.13,6.83,6.95,9.14
21,6.33,6.98,9.35,9.42,8.61,7.39,7.82,8.57
22,8.39,8.50,8.35,9.67,9.13,7.48,7.41,8.43
23,7.11,7.75,9.43,9.62,9.43,8.26,7.95,7.57
24,8.94,9.15,9.09,9.75,9.48,9.17,8.64,9.57
25,7.56,8.85,9.43,9.75,9.22,8.48,7.55,8.71
26,6.78,8.25,7.13,9.08,8.04,8.96,8.77,8.57
27,7.94,8.50,9.52,10.00,9.83,9.65,9.05,9.14
28,9.28,9.20,9.09,10.00,9.74,8.83,8.50,9.57
29,9.00,8.30,9.13,10.00,9.43,8.57,8.18,8.0
30,8.72,9.70,8.57,9.75,9.48,8.83,8.32,8.57
31,8.28,9.20,9.22,9.88,9.48,8.48,8.23,8.43
32,7.56,9.30,9.35,9.79,9.74,8.83,8.45,9.57
34,7.78,8.55,9.00,9.33,8.48,7.57,7.68,8.14
37,7.39,8.60,9.52,9.62,9.17,8.04,8.23,9.0
38,9.22,9.90,7.78,8.88,8.13,8.39,8.09,8.57
39,7.72,8.75,8.91,9.75,9.61,9.22,9.18,9.71
40,8.11,8.80,9.00,9.62,9.00,7.74,7.59,8.43
41,7.50,7.95,9.48,9.67,9.74,9.04,8.77,9.14
42,6.61,8.40,9.61,9.71,9.35,8.17,8.18,9.14
44,8.08,8.78,8.96,9.88,9.48,8.91,8.59,9.57
45,7.64,8.00,8.17,8.58,7.04,6.52,6.36,7.43
46,9.44,9.80,9.61,9.96,9.83,8.87,7.82,8.71
50,7.28,7.90,8.39,9.33,8.83,7.52,7.27,8.0
52,9.50,9.45,9.61,9.96,9.35,8.83,8.64,9.0
53,6.94,8.55,9.48,9.12,8.39,7.78,8.50,8.29
54,7.72,9.25,9.61,9.88,9.61,9.48,9.32,9.71
55,7.89,7.80,8.74,9.88,9.00,7.52,7.27,8.57
56,8.33,8.55,7.91,9.62,9.35,8.22,8.23,9.0
57,8.33,8.90,8.22,9.04,9.17,8.00,7.95,9.29
58,7.97,6.48,7.96,8.79,8.04,7.35,6.77,8.43
59,8.78,9.40,9.30,9.75,9.57,9.48,8.77,9.86
60,8.00,9.10,9.26,9.75,8.52,7.87,7.68,8.86
61,8.72,9.60,9.04,9.71,9.04,7.83,7.95,9.0
62,8.56,9.65,10.00,10.00,9.86,8.74,7.27,8.43
63,9.11,10.00,10.00,9.92,10.00,9.52,9.45,9.86
64,8.39,9.58,9.91,9.92,10.00,8.57,7.68,8.43
65,7.72,9.10,9.52,9.83,9.77,7.78,7.14,8.71
66,9.17,9.93,10.00,9.88,9.91,9.87,8.77,9.57
67,9.56,10.00,9.96,10.00,9.86,8.30,7.41,7.62
68,9.89,10.00,10.00,10.00,10.00,9.74,8.91,9.29
69,9.47,10.00,10.00,10.00,10.00,9.70,8.00,8.81
70,7.33,9.30,10.00,9.79,9.82,9.09,7.86,8.14
71,8.56,9.90,9.48,9.88,9.56,9.22,7.77,9.14
72,9.44,9.70,10.00,10.00,9.73,8.74,7.36,8.29
73,7.31,8.68,9.91,9.00,9.59,8.78,8.23,9.71
74,8.67,9.68,9.91,9.63,9.86,9.22,7.00,7.81
75,8.08,9.65,9.91,9.92,9.64,8.43,7.68,7.86
76,8.19,9.35,9.83,9.88,9.27,8.30,7.64,8.14
77,5.61,8.28,9.91,9.75,9.77,8.35,7.64,7.76
78,7.50,9.40,9.87,9.75,9.68,9.09,7.00,8.0
79,8.94,9.93,9.91,10.00,9.68,9.87,8.18,9.14
80,6.56,8.85,9.78,9.83,9.77,8.35,7.73,8.1
81,8.39,8.33,8.96,9.17,9.64,7.87,6.27,7.05
82,8.75,9.80,10.00,9.88,10.00,9.48,8.36,9.0
83,8.61,9.85,9.87,10.00,10.00,9.87,8.59,9.71
84,7.22,9.15,9.74,9.83,9.55,7.57,6.86,7.76
86,9.22,9.90,10.00,9.88,9.41,8.57,7.91,9.05
87,7.78,9.50,10.00,9.92,10.00,9.78,9.18,9.86
90,9.89,9.90,10.00,9.88,10.00,9.87,9.68,9.43
91,7.81,9.50,10.00,9.92,9.86,9.22,8.05,8.71
93,6.14,8.63,9.65,9.71,9.82,8.17,7.27,8.05
94,7.72,9.50,9.22,9.50,9.64,8.17,7.77,8.86
95,7.44,8.53,9.52,9.17,9.09,7.52,7.27,7.48
96,6.72,8.63,9.74,9.71,9.64,9.09,8.23,9.0
97,8.78,9.90,10.00,9.83,9.32,8.39,7.50,8.86
98,8.39,9.70,9.83,9.92,9.91,8.83,8.45,8.86
99,6.39,8.15,9.78,9.54,8.64,7.78,7.55,7.71
100,8.78,9.98,10.00,9.88,9.73,9.09,8.55,8.38
101,8.61,10.00,9.87,10.00,9.86,10.00,9.59,9.43
102,6.94,8.65,10.00,9.88,9.86,8.70,7.95,8.29
103,9.19,9.98,10.00,10.00,9.73,8.57,7.82,8.43
104,7.17,8.70,9.91,9.96,9.86,8.96,8.14,9.57
105,8.50,9.85,10.00,9.88,9.55,8.74,8.05,9.0
106,7.14,8.05,9.96,9.96,9.41,7.22,7.00,7.95
107,8.83,9.68,9.78,9.92,9.77,8.83,7.64,7.62
108,9.61,10.00,10.00,10.00,10.00,9.61,8.50,9.29
109,8.72,9.40,10.00,10.00,9.73,9.22,7.32,8.38
110,9.50,10.00,10.00,10.00,10.00,9.91,9.05,9.57
111,8.56,9.78,9.91,10.00,10.00,9.52,8.59,8.95
112,7.39,8.50,9.96,9.71,9.00,7.87,7.86,7.86
113,9.39,10.00,10.00,10.00,9.82,9.48,8.73,9.14
114,9.50,9.55,10.00,10.00,9.86,9.74,9.27,9.43
115,6.78,8.60,9.83,9.83,9.73,7.96,6.86,7.71
116,9.72,9.95,10.00,10.00,10.00,9.22,7.68,8.95
117,8.61,9.93,10.00,10.00,9.73,9.48,8.09,9.0
118,8.44,9.65,9.91,9.96,9.64,7.87,7.55,8.86
120,7.56,9.75,9.96,9.83,9.05,8.13,6.68,7.9
121,8.50,9.43,9.91,9.92,9.86,9.35,7.86,8.43
122,7.33,9.70,9.74,10.00,9.45,10.00,9.00,0.0
123,8.72,9.88,9.78,10.00,9.86,9.35,9.05,9.43
124,6.39,7.85,9.13,8.79,8.05,7.96,7.77,8.29
125,8.58,9.80,9.91,9.92,9.59,8.65,8.45,8.81
126,9.89,9.93,10.00,10.00,10.00,9.70,9.41,9.29
127,8.78,9.43,9.78,9.46,9.68,9.39,8.00,8.86
128,7.67,9.30,9.96,9.29,9.64,8.70,7.50,9.0
129,5.81,7.58,8.52,7.21,8.55,7.35,8.18,7.81
130,8.67,9.70,10.00,10.00,10.00,9.87,8.91,9.57
131,9.61,10.00,9.78,9.83,9.73,9.43,8.50,8.95
132,9.67,10.00,9.57,10.00,9.82,8.70,8.05,8.43
133,9.17,9.68,9.74,9.63,9.50,9.35,7.68,8.14
134,8.81,9.90,8.43,8.21,9.18,9.48,8.50,9.43
135,8.56,10.00,10.00,9.83,9.59,9.39,8.23,9.71
136,5.57,7.26,9.96,9.75,9.36,6.70,6.23,7.76
137,8.94,10.00,10.00,10.00,9.91,9.78,9.18,9.71
138,7.72,9.40,10.00,9.83,9.68,9.22,8.18,8.52
139,7.11,7.88,9.78,9.50,9.68,8.43,7.32,8.86
140,8.33,9.75,10.00,10.00,9.68,9.87,8.23,8.71
141,9.89,9.90,10.00,10.00,10.00,9.74,9.18,9.43
143,7.56,9.30,9.74,10.00,9.73,8.43,8.36,9.29
144,8.28,10.00,9.87,10.00,9.86,9.39,9.73,9.14
145,7.81,9.08,9.17,9.50,9.41,6.83,6.68,7.9
147,7.69,8.10,9.57,9.88,9.41,7.65,7.18,7.76
148,7.33,8.33,9.91,9.29,9.18,8.78,7.55,8.38
151,7.03,9.43,9.87,9.96,9.77,9.09,8.09,8.86
152,9.78,9.70,10.00,10.00,9.68,9.43,8.64,9.14
153,8.61,10.00,10.00,10.00,9.91,9.91,9.05,9.86
154,8.00,8.28,9.74,9.83,9.50,8.74,7.95,7.95
155,6.81,8.53,9.30,9.29,9.36,7.30,6.59,7.43
156,9.50,10.00,10.00,10.00,9.77,9.96,9.18,9.57
157,8.44,9.60,10.00,10.00,9.73,9.83,8.91,9.0
158,6.58,9.13,10.00,10.00,9.45,9.00,8.23,9.86
159,8.89,9.80,9.96,10.00,9.73,9.65,8.09,9.24
160,9.33,9.93,10.00,10.00,9.73,9.87,8.77,8.86
161,7.00,8.63,9.78,9.96,9.91,9.00,8.45,9.14
162,8.61,9.58,8.70,9.00,9.23,9.48,8.32,8.43
163,7.56,9.60,10.00,10.00,9.32,9.13,8.14,9.14
164,8.56,9.78,9.96,9.96,9.41,9.09,8.05,8.48
165,9.00,9.83,10.00,9.88,9.59,9.61,8.23,8.86
166,9.61,9.93,10.00,9.96,9.05,8.78,8.50,8.57
167,6.92,9.08,10.00,9.50,8.77,7.91,6.82,7.81
168,7.58,8.80,10.00,10.00,8.77,8.78,8.23,8.29
169,8.14,9.43,9.83,9.96,9.59,9.48,8.77,8.57
170,9.67,10.00,10.00,10.00,9.68,9.83,9.05,9.43
171,8.33,9.40,9.74,9.83,9.50,9.48,7.95,8.86
172,9.22,10.00,9.87,10.00,9.55,9.35,8.23,9.57
173,9.67,9.60,9.96,9.71,9.59,9.74,8.09,9.29
174,9.89,10.00,10.00,10.00,9.73,9.74,8.77,9.29
175,6.97,9.30,9.96,9.58,9.64,8.96,7.64,9.0
177,6.94,7.95,9.61,9.67,9.45,8.74,7.50,6.67
178,9.47,10.00,10.00,10.00,9.41,8.96,7.95,8.71
179,8.61,9.60,10.00,9.88,9.59,8.96,7.91,8.67
180,9.64,10.00,10.00,10.00,10.00,9.43,8.55,9.43
181,7.44,8.98,9.91,9.33,8.45,8.13,7.23,8.33
182,8.25,9.35,10.00,10.00,9.64,9.00,8.27,9.43
183,8.11,9.18,9.96,9.88,9.77,8.35,7.18,8.86
184,8.31,9.78,9.83,9.67,9.86,9.13,8.45,8.57
185,8.33,9.58,9.96,9.75,9.32,8.39,7.00,8.38
186,8.81,9.70,9.74,9.50,8.64,9.17,8.09,9.29
202,7.11,7.80,7.91,8.88,9.00,7.57,8.77,8.43
204,7.67,6.75,8.13,8.92,9.05,7.04,7.41,7.71
206,8.33,7.45,9.04,9.25,9.45,6.35,7.55,8.71
207,5.31,6.53,7.91,8.88,8.86,6.52,6.86,7.86
208,7.61,7.00,8.30,8.83,9.32,7.48,8.23,9.57
209,5.97,7.95,7.96,9.08,9.41,6.83,8.64,8.0
210,6.67,7.15,7.87,8.83,9.05,6.96,7.14,8.57
211,7.94,8.55,7.52,8.88,8.91,7.78,8.64,9.43
347,7.50,9.20,10.00,9.75,10.00,9.09,8.36,9.14
348,7.89,9.10,9.43,9.63,9.87,8.26,8.18,8.71
349,6.78,8.50,7.91,9.58,9.83,7.83,7.82,8.95
350,8.22,9.80,9.87,10.00,10.00,9.87,9.18,9.71
351,8.72,9.85,9.83,10.00,9.70,9.09,9.59,9.86
352,7.44,8.38,9.57,9.67,9.91,7.87,8.23,7.76
353,6.83,8.15,9.87,9.46,9.35,7.39,8.18,8.48
354,7.44,8.63,9.87,9.54,9.87,8.43,7.91,9.05
355,8.67,9.10,9.78,9.79,10.00,8.09,7.77,8.62
356,8.28,9.50,10.00,9.88,9.83,9.09,9.05,9.33
357,6.17,7.35,9.61,9.75,9.74,8.22,8.05,8.57
358,8.72,9.65,10.00,9.92,9.91,9.09,9.23,9.62
359,7.50,9.50,8.65,9.04,8.39,7.78,7.41,8.48
360,6.83,8.35,9.61,9.63,9.22,8.30,8.00,8.38
361,9.94,9.95,10.00,9.63,10.00,9.74,9.09,9.86
362,7.17,7.03,9.22,8.88,9.04,7.70,7.68,8.05
363,9.67,10.00,9.87,9.88,10.00,8.91,8.64,8.9
364,7.14,8.75,9.96,9.92,9.83,9.83,8.77,9.43
365,7.94,8.70,9.61,9.63,9.39,8.04,7.95,8.1
366,8.56,8.88,9.48,9.17,9.78,8.09,8.27,8.76
367,7.56,9.70,9.96,10.00,10.00,9.22,7.95,8.48
368,7.72,8.65,10.00,9.88,9.74,8.83,8.73,9.0
369,7.67,9.25,8.83,9.38,8.13,8.04,7.41,8.0
370,7.28,8.90,9.61,9.50,9.35,8.04,7.55,8.48
371,6.67,7.53,9.61,9.71,9.87,8.70,8.14,8.48
372,9.06,10.00,9.35,10.00,9.65,8.30,7.41,9.0
373,7.81,8.70,9.83,9.88,9.91,8.65,7.77,8.81
374,8.89,10.00,9.74,9.75,9.96,9.74,8.68,9.24
375,7.89,9.25,9.87,9.71,9.96,8.43,8.14,8.48
376,7.78,7.90,9.30,9.42,9.48,7.43,7.00,7.48
377,7.50,9.35,9.78,9.71,9.78,8.78,8.23,8.95
378,7.39,8.33,9.74,9.75,9.87,7.78,7.00,7.86
379,10.00,9.80,10.00,10.00,10.00,9.35,8.50,9.0
380,8.61,9.50,9.74,9.75,9.65,8.91,7.91,7.86
381,8.00,8.90,10.00,9.88,10.00,9.22,8.32,9.48
382,6.64,8.33,9.57,9.13,9.91,7.26,7.23,7.38
383,9.44,9.80,10.00,10.00,9.87,8.74,8.77,8.76
384,7.97,9.10,7.74,9.04,9.78,8.91,8.64,9.52
385,7.17,9.45,9.04,9.50,10.00,8.04,7.68,8.1
386,6.81,8.98,9.74,9.75,9.83,7.96,8.73,9.05
387,8.53,9.05,9.87,9.42,9.87,8.22,7.45,9.19
388,6.19,8.00,9.78,9.58,10.00,8.43,8.68,9.33
389,8.50,8.35,8.74,9.42,9.61,8.09,8.18,8.43
390,8.36,9.65,9.87,9.75,10.00,8.83,8.23,9.0
391,6.75,7.93,9.09,9.63,9.26,8.26,7.32,7.81
392,7.50,8.48,9.52,9.58,9.83,8.83,8.32,9.24
393,7.28,8.75,10.00,9.58,9.61,8.70,7.91,9.33
394,7.19,7.80,9.87,9.75,9.83,7.96,7.82,7.95
395,7.25,7.50,9.48,9.67,9.74,7.61,7.77,8.48
396,7.39,8.90,9.35,9.92,9.83,8.04,7.55,8.1
397,7.33,8.03,8.17,8.75,7.87,7.39,6.91,8.24
398,8.64,9.60,9.35,9.67,8.70,8.00,7.91,8.81
399,6.39,7.78,9.17,9.75,9.57,8.26,8.05,8.33
400,7.14,8.63,9.30,9.88,9.43,7.91,7.86,8.57
401,7.56,7.03,8.87,9.04,9.52,6.74,7.36,8.9
402,7.58,8.25,9.48,9.21,9.52,7.96,7.82,7.62
403,8.56,9.25,9.87,9.75,9.67,8.17,8.36,8.57
404,7.33,9.65,10.00,10.00,9.96,7.91,7.91,8.71
405,7.67,8.68,9.74,10.00,9.91,8.87,8.36,8.48
406,7.94,9.65,9.74,9.75,9.87,8.70,8.09,9.33
407,7.72,8.40,8.09,9.17,9.39,7.17,6.86,7.38
408,7.50,7.55,8.65,9.08,9.61,6.43,6.09,7.38
409,6.81,7.70,9.74,9.88,10.00,8.22,7.18,8.43
410,7.44,9.10,9.35,9.75,9.74,8.65,7.86,8.95
411,9.00,9.95,10.00,9.88,9.91,9.09,8.86,9.48
412,7.64,8.95,9.83,9.75,9.74,8.78,7.64,8.48
413,6.25,7.55,9.83,9.75,9.91,7.65,7.55,8.29
414,7.28,8.80,10.00,10.00,9.78,9.22,8.23,9.48
415,8.22,9.55,9.57,9.75,10.00,9.22,7.68,8.62
416,9.50,9.90,9.09,9.63,9.74,8.70,7.41,8.62
417,8.00,8.65,9.61,9.63,9.87,9.04,8.27,8.9
418,7.22,8.40,9.74,9.54,9.96,9.48,8.41,9.67
419,7.58,9.05,9.87,9.63,9.87,9.22,8.09,9.19
420,6.72,8.60,9.22,9.75,9.74,8.39,8.18,8.71
421,8.00,8.20,9.96,9.63,10.00,8.30,7.82,8.24
422,6.61,8.23,9.87,9.92,9.48,7.83,6.82,8.14
423,6.67,8.15,7.83,8.63,9.74,7.78,8.00,7.95
424,8.61,9.08,10.00,9.75,9.74,8.43,8.09,9.24
425,9.00,9.90,9.74,9.50,9.87,8.52,8.91,8.52
426,7.19,8.75,9.61,9.83,9.96,7.43,7.09,8.43
427,8.00,8.88,10.00,9.17,9.43,8.52,7.86,8.76
428,7.44,7.43,9.61,9.33,9.26,7.57,7.05,8.38
429,6.94,7.20,9.91,9.79,9.70,6.57,6.68,7.43
430,9.28,9.35,9.87,9.79,9.96,8.83,8.55,9.52
431,6.86,8.70,9.57,9.63,9.61,8.35,6.82,7.38
432,8.00,8.00,8.83,8.71,9.13,7.35,7.32,7.71
434,10.00,9.75,9.96,9.88,9.87,9.48,9.32,9.76
435,9.17,9.90,10.00,9.88,9.87,9.17,7.82,9.52
436,7.11,9.25,9.70,9.79,9.39,8.70,7.64,8.29
437,7.11,8.43,8.61,8.96,9.70,8.43,7.86,8.76
438,9.00,9.55,9.74,9.88,9.57,8.39,8.09,9.24
439,9.17,9.90,9.48,9.75,9.65,9.61,9.05,9.38
440,7.67,8.23,8.30,8.71,8.96,8.39,8.55,8.76
441,8.11,8.70,9.83,9.88,9.74,8.17,7.82,8.76
442,7.28,8.75,9.87,9.75,9.70,7.52,6.77,7.9
443,8.67,9.00,9.74,9.88,9.35,8.43,7.82,8.76
444,7.39,9.03,10.00,9.63,9.35,8.57,7.18,8.24
445,8.44,9.75,9.87,9.88,9.74,9.61,9.32,9.33
